country,HDI,ExLife,ExSc,MeSc,GNI
Norway,0.949,81.7,17.7,12.7,67614.35348
Australia,0.939,82.5,20.4,13.2,42822.19627
Switzerland,0.939,83.1,16,13.4,56363.9578
Germany,0.926,81.1,17.1,13.2,44999.64714
Denmark,0.925,80.4,19.2,12.7,44518.92402
Singapore,0.925,83.2,15.4,11.6,78162.32387
Netherlands,0.924,81.7,18.1,11.9,46325.57658
Ireland,0.923,81.1,18.6,12.3,43797.96814
Iceland,0.921,82.7,19,12.2,37065.21451
Canada,0.92,82.2,16.3,13.1,42581.91433
United States,0.92,79.2,16.5,13.2,53245.07696
Hong Kong,0.917,84.2,15.7,11.6,54264.91478
New Zealand,0.915,82,19.2,12.5,32870.07836
Sweden,0.913,82.3,16.1,12.3,46250.79382
Liechtenstein,0.912,80.2,14.6,12.4,75064.84111
United Kingdom,0.909,80.8,16.3,13.3,37930.82701
Japan,0.903,83.7,15.3,12.5,37267.96407
South Korea,0.901,82.1,16.6,12.2,34540.64927
Israel,0.899,82.6,16,12.8,31214.7148
Luxembourg,0.898,81.9,13.9,12,62470.59129
France,0.897,82.4,16.3,11.6,38085.40033
Belgium,0.896,81,16.6,11.4,41243.31382
Finland,0.895,81,17,11.2,38868.13552
Austria,0.893,81.6,15.9,11.3,43608.82387
Slovenia,0.89,80.6,17.3,12.1,28664.21147
Italy,0.887,83.3,16.3,10.9,33572.98249
Spain,0.884,82.8,17.7,9.8,32778.51507
Czech,0.878,78.8,16.8,12.3,28143.97758
Greece,0.866,81.1,17.2,10.5,24807.53589
Brunei ,0.865,79,14.9,9,72843.46609
Estonia,0.865,77,16.5,12.5,26361.89394
Andorra,0.858,81.5,13.5,10.3,47979.45411
Cyprus,0.856,80.3,14.3,11.7,29458.52269
Malta,0.856,80.7,14.6,11.3,29499.56023
Qatar,0.856,78.3,13.4,9.8,129915.6009
Poland,0.855,77.6,16.4,11.9,24116.99224
Lithuania,0.848,73.5,16.5,12.7,26006.47764
Chile,0.847,82,16.3,9.9,21665.45797
Saudi Arabia,0.847,74.4,16.1,9.6,51320.11323
Slovakia,0.845,76.4,15,12.2,26763.61725
Portugal,0.843,81.2,16.6,8.9,26103.62927
UAE,0.84,77.1,13.3,9.5,66203.29979
Hungary,0.836,75.3,15.6,12,23394.32423
Latvia,0.83,74.3,16,11.7,22589.17355
Argentina,0.827,76.5,17.3,9.9,20945.12105
Croatia,0.827,77.5,15.3,11.2,20291.34365
Bahrain,0.824,76.7,14.5,9.4,37236.36304
Montenegro,0.807,76.4,15.1,11.3,15409.60512
Russian,0.804,70.3,15,12,23286.08065
Romania,0.802,74.8,14.7,10.8,19427.60925
Kuwait,0.8,74.5,13.3,7.3,76075.20735
Belarus,0.796,71.5,15.7,12,15629.44697
Oman,0.796,77,13.7,8.1,34402.2755
Barbados,0.795,75.8,15.3,10.5,14951.61701
Uruguay,0.795,77.4,15.5,8.6,19148.05627
Bulgaria,0.794,74.3,15,10.8,16261.26026
Kazakhstan,0.794,69.6,15,11.7,22093.08651
Bahamas,0.792,75.6,12.7,10.9,21565.05081
Malaysia,0.789,74.9,13.1,10.1,24619.6547
Palau,0.788,72.9,14.3,12.3,13770.8252
Panama,0.788,77.8,13,9.9,19470.2025
Antigua and Barbuda,0.786,76.2,13.9,9.2,20907.21742
Seychelles,0.782,73.3,14.1,9.4,23886.12252
Mauritius,0.781,74.6,15.2,9.1,17947.96398
Trinidad and Tobago,0.78,70.5,12.7,10.9,28049.08642
Costa Rica,0.776,79.6,14.2,8.7,14006.35509
Serbia,0.776,75,14.4,10.8,12202.12775
Cuba,0.775,79.6,13.9,11.8,7455.062477
Iran ,0.774,75.6,14.8,8.8,16395.17737
Georgia,0.769,75,13.9,12.2,8855.829885
Turkey,0.767,75.5,14.6,7.9,18704.52728
Venezuela,0.767,74.4,14.3,9.4,15128.64103
Sri Lanka,0.766,75,14,10.9,10788.90853
Saint Kitts and Nevis,0.765,74,13.7,8.4,22436.47559
Albania,0.764,78,14.2,9.6,10252.46983
Lebanon,0.763,79.5,13.3,8.6,13311.57619
Mexico,0.762,77,13.3,8.6,16383.10668
Azerbaijan,0.759,70.9,12.7,11.2,16413.26033
Brazil,0.754,74.7,15.2,7.8,14145.13735
Grenada,0.754,73.6,15.8,8.6,11502.18581
Bosnia and Herzegovina,0.75,76.6,14.2,9,10090.77442
Yugoslav Republic of Macedonia,0.748,75.5,12.9,9.4,12405.21668
Algeria,0.745,75,14.4,7.8,13532.96078
Armenia,0.743,74.9,12.7,11.3,8189.115193
Ukraine,0.743,71.1,15.3,11.3,7361.011228
Jordan,0.741,74.2,13.1,10.1,10111.33377
Peru,0.74,74.8,13.4,9,11294.84033
Thailand,0.74,74.6,13.6,7.9,14518.64304
Ecuador,0.739,76.1,14,8.3,10536.15525
China,0.738,76,13.5,7.6,13345.47746
Fiji,0.736,70.2,15.3,10.5,8244.755707
Mongolia,0.735,69.8,14.8,9.8,10449.20727
Saint Lucia,0.735,75.2,13.1,9.3,9791.388111
Jamaica,0.73,75.8,12.8,9.6,8350.023078
Colombia,0.727,74.2,13.6,7.6,12762.20529
Dominica,0.726,77.9,12.8,7.9,10095.84679
Suriname,0.725,71.3,12.7,8.3,16017.98831
Tunisia,0.725,75,14.6,7.1,10248.57789
Dominican Republic,0.722,73.7,13.2,7.7,12756.40123
Saint Vincent and the Grenadines,0.722,73,13.3,8.6,10372.44185
Tonga,0.721,73,14.3,11.1,5284.393683
Libya,0.716,71.8,13.4,7.3,14303.10953
Belize,0.706,70.1,12.8,10.5,7374.814544
Samoa,0.704,73.7,12.9,10.3,5371.507869
Maldives,0.701,77,12.7,6.2,10382.73306
Uzbekistan,0.701,69.4,12.2,12,5748.226043
Moldova ,0.699,71.7,11.8,11.9,5026.259922
Botswana,0.698,64.5,12.6,9.2,14662.81969
Gabon,0.697,64.9,12.6,8.1,19043.58718
Paraguay,0.693,73,12.3,8.1,8181.693782
Egypt,0.691,71.3,13.1,7.1,10064.05991
Turkmenistan,0.691,65.7,10.8,9.9,14025.83138
Indonesia,0.689,69.1,12.9,7.9,10053.3377
"Palestine, State of",0.684,73.1,12.8,8.9,5256.469658
Viet Nam,0.683,75.9,12.6,8,5334.526859
Philippines,0.682,68.3,11.7,9.3,8395.094758
El Salvador,0.68,73.3,13.2,6.5,7732.025398
Bolivia ,0.674,68.7,13.8,8.2,6154.887574
South Africa,0.666,57.7,13,10.3,12087.21364
Kyrgyzstan,0.664,70.8,13,10.8,3096.796097
Iraq,0.649,69.6,10.1,6.6,11607.72856
Cabo Verde,0.648,73.5,13.5,4.8,6049.128513
Morocco,0.647,74.3,12.1,5,7194.916461
Nicaragua,0.645,75.2,11.7,6.5,4746.699464
Guatemala,0.64,72.1,10.7,6.3,7063.204406
Namibia,0.64,65.1,11.7,6.7,9769.848507
Guyana,0.638,66.5,10.3,8.4,6884.453762
Micronesia ,0.638,69.3,11.7,9.7,3291.479682
Tajikistan,0.627,69.6,11.3,10.4,2600.585607
Honduras,0.625,73.3,11.2,6.2,4466.341808
India,0.624,68.3,11.7,6.3,5663.474799
Bhutan,0.607,69.9,12.5,3.1,7081.45304
Timor-Leste,0.605,68.5,12.5,4.4,5371.162193
Vanuatu,0.597,72.1,10.8,6.8,2804.676229
Congo,0.592,62.9,11.1,6.3,5502.559087
Equatorial Guinea,0.592,57.9,9.2,5.5,21517.21167
Kiribati,0.588,66.2,11.9,7.8,2475.204326
Lao ,0.586,66.6,10.8,5.2,5048.558074
Bangladesh,0.579,72,10.2,5.2,3341.490722
Ghana,0.579,61.5,11.5,6.9,3838.670257
Zambia,0.579,60.8,12.5,6.9,3463.712718
Sao Tome and Principe,0.574,66.6,12,5.3,3069.845164
Cambodia,0.563,68.8,10.9,4.7,3095.317595
Nepal,0.558,70,12.2,4.1,2337.069534
Myanmar,0.556,66.1,9.1,4.7,4943.12863
Kenya,0.555,62.2,11.1,6.3,2880.739597
Pakistan,0.55,66.4,8.1,5.1,5031.173074
Swaziland,0.541,48.9,11.4,6.8,7521.816682
Syrian Arab Republic,0.536,69.7,9,5.1,2440.599224
Angola,0.533,52.7,11.4,5,6290.895886
Tanzania,0.531,65.5,8.9,5.8,2466.902694
Nigeria,0.527,53.1,10,6,5442.901264
Cameroon,0.518,56,10.4,6.1,2894.277577
Papua New Guinea,0.516,62.8,9.9,4.3,2711.765948
Zimbabwe,0.516,59.2,10.3,7.7,1587.723183
Solomon Islands,0.515,68.1,9.6,5.3,1560.858813
Mauritania,0.513,63.2,8.5,4.3,3527.264154
Madagascar,0.512,65.5,10.3,6.1,1319.699397
Rwanda,0.498,64.7,10.8,3.8,1616.85733
Comoros,0.497,63.6,11.1,4.8,1335.004475
Lesotho,0.497,50.1,10.7,6.1,3318.773796
Senegal,0.494,66.9,9.5,2.8,2250.133629
Haiti,0.493,63.1,9.1,5.2,1656.943154
Uganda,0.493,59.2,10,5.7,1670.190775
Sudan,0.49,63.7,7.2,3.5,3846.370533
Togo,0.487,60.2,12,4.7,1262.17409
Benin,0.485,59.8,10.7,3.5,1979.250627
Yemen,0.482,64.1,9,3,2300.272279
Afghanistan,0.479,60.7,10.1,3.6,1870.827131
Malawi,0.476,63.9,10.8,4.4,1073.290846
Côte d'Ivoire,0.474,51.9,8.9,5,3162.738853
Djibouti,0.473,62.3,6.3,4.1,3216.176031
Gambia,0.452,60.5,8.9,3.3,1540.829529
Ethiopia,0.448,64.6,8.4,2.6,1522.954782
Mali,0.442,58.5,8.4,2.3,2218.360673
Congo ,0.435,59.1,9.8,6.1,679.6312234
Liberia,0.427,61.2,9.9,4.4,682.5904279
Guinea-Bissau,0.424,55.5,9.2,2.9,1369.460824
Eritrea,0.42,64.2,5,3.9,1489.850738
Sierra Leone,0.42,51.3,9.5,3.3,1529.176083
Mozambique,0.418,55.5,9.1,3.5,1098.435768
South Sudan,0.418,56.1,4.9,4.8,1882.498799
Guinea,0.414,59.2,8.8,2.6,1058.219876
Burundi,0.404,57.1,10.6,3,691.1825738
Burkina Faso,0.402,59,7.7,1.4,1537.499309
Chad,0.396,51.9,7.3,2.3,1990.871405
Niger,0.353,61.9,5.4,1.7,889.4556458
Central African ,0.352,51.5,7.1,4.2,587.4739607
